user_id,username,first_bot_flag,last_rights_change
271058.0,YurikBot,20050718114700,20110711224441
334598.0,CyeZBot~enwiki,20050727205030,20071201014150
357108.0,MoriBot~enwiki,20050731115511,20100817213155
216645.0,ABot,20050806082402,20080709170900
228773.0,FlaBot,20050808214526,20140708131641
367880.0,Lt-wiki-bot,20050817140040,20150724202027
116385.0,Jumbuck,20050817140226,20140708190231
252107.0,M7bot,20050820230757,20080313165233
,Portal_namespace_initialisation_script,20050827083930,20080309135638
,Zwobot_(usurped),20050906114016,20051009130235
,AFD_Bot,20050926163839,20080314214701
397664.0,Curpsbot-unicodify,20051013002106,20071201014146
411872.0,GrinBot~enwiki,20051013002155,20140708184050
393532.0,Whobot,20051013002203,20140708183935
,Pfft_Bot,20051013002220,20051013002220
274552.0,NTBot~enwiki,20051025103310,20080709170819
403026.0,DisambigBot,20051102011043,20080709170845
484830.0,RobotJcb,20051102210608,20140708185522
527862.0,Bluebot,20051111172007,20061213161308
224169.0,Kurando-san,20051112094352,20080709170952
424774.0,NotificationBot,20051112094441,20080314214719
,Commander_Keane_bot,20051123114757,20161203171857
335419.0,Dlyons493,20051209112801,20071130132926
516444.0,Mairibot,20051209113740,20080709171029
624606.0,KaiserbBot,20051210161617,20071201015019
587779.0,CricketBot,20051210161944,20140708184223
725128.0,TPO-bot,20060112161401,20080314143017
621721.0,OrphanBot,20060112163740,20161203171742
,Sashato,20060113065704,20060113065704
620581.0,Chlewbot,20060122020516,20140709101439
813941.0,VandalCountBot,20060124202912,20080709170939
601940.0,Tsca.bot,20060131215013,20150724201551
815650.0,RoboDick~enwiki,20060201205518,20080709170912
823605.0,Syrcatbot,20060205062335,20080314190003
,Ugur_Basak_Bot,20060207085217,20060207085217
922334.0,Tawkerbot,20060222111146,20140708184742
958590.0,JoeBot,20060227140942,20080313165215
433328.0,SmackBot,20060304122748,20150812090738
952938.0,IW-Bot-as~enwiki,20060308154442,20080709170926
1017261.0,Slobot,20060309185254,20150724201611
991764.0,WatchlistBot,20060318005932,20110711223346
955432.0,Fetofsbot,20060318214829,20080331173752
1029865.0,Heikobot,20060318220944,20150724201939
174355.0,Porthos~enwiki,20060322202414,20060322203012
,PorhosBot,20060322203214,20060322203214
1083875.0,Pegasusbot,20060322235949,20060731220737
1079367.0,CmdrObot,20060324195529,20240101192215
543622.0,Rschen7754bot,20060324195613,20130529060412
1002297.0,Mulder416sBot,20060324202053,20110711224535
1161488.0,WeggeBot,20060404144848,20140709101341
,MessedRobot,20060411234951,20060411234951
946823.0,LDBot,20060415120613,20140708190222
1093801.0,PorthosBot,20060417092449,20060424011856
1158220.0,Werdnabot,20060417233451,20161203171756
1122714.0,ZsinjBot,20060421105010,20080311180515
735662.0,Zbot370,20060422193615,20080311120112
1072102.0,Planktonbot,20060422231930,20100821181301
1016403.0,Pathosbot,20060422232411,20140708184639
699909.0,DFBot,20060425193704,20140709000342
1215485.0,Cydebot,20060427230118,20240101192223
1224866.0,EssjayTest,20060428112912,20060428113116
1187248.0,Tangobot,20060428160653,20140708235447
1072843.0,Fetofsbot2,20060428180722,20080331173802
908518.0,Zorglbot,20060517231617,20130529191113
1358905.0,Ralbot,20060525013338,20140708190213
,Beastie_Bot,20060611231840,20140708184101
1553148.0,RoboServien,20060612015812,20150724201622
1504808.0,RoryBot,20060614204207,20080314210409
727408.0,Vina-iwbot~enwiki,20060617054936,20140708235900
1571476.0,MarshBot,20060618020525,20080313165050
1394109.0,VoABot,20060619001120,20080110013647
592517.0,StefanBot,20060624031229,20080314185942
1075024.0,Ganeshbot,20060625025022,20060625025022
1710388.0,Tawbot~enwiki,20060703165448,20071201015032
1385729.0,BetacommandBot,20060704065010,20080516083204
1465663.0,Fluxbot,20060707042910,20210117145851
367234.0,N-Bot,20060707043410,20100821173332
1671506.0,Alphachimpbot,20060707045206,20161203171351
1716311.0,TuvicBot,20060709094643,20140708130053
,FFBot,20060709152210,20060709152210
1756068.0,KonstableBot,20060712081717,20071201015024
1188514.0,MiszaBot,20060712192104,20170605154508
1743889.0,Fritzbot,20060713091916,20080313165301
1324179.0,Alaibot,20060713094755,20161203171440
1577873.0,WinBot,20060714100546,20090927034237
1575512.0,RobotG,20060714124627,20140708184625
1310918.0,DumbBOT,20060714153826,20060714153826
1809622.0,Grafikbot,20060720023157,20110711224242
1036954.0,EssjayBot,20060722125317,20070308161908
,Wikipedia_Signpost,20060726034947,20180522105806
1811786.0,RebelRobot,20060728002927,20150724201627
1410993.0,CrazynasBot,20060729022914,20060729022914
1124563.0,Drinibot,20060806074501,20140708235910
1839348.0,.anacondabot,20060822041834,20080801163322
231599.0,Eubot,20060822041948,20140708185740
1390043.0,Kingbotk,20060822041950,20140708185152
,The_Anomebot2,20060823013548,20241124012113
1800430.0,GurchBot,20060827033849,20170605154501
1725149.0,JAnDbot,20060827034251,20060827034251
1554195.0,Escarbot,20060907075554,20140708131648
2030868.0,MetsBot,20060907075956,20140708190021
2153130.0,DinoBot,20060911022858,20110711221615
553296.0,MalafayaBot,20060911022912,20140708130643
1756359.0,AP.BOT,20060911024655,20110711221819
723279.0,Ligulembot,20060911164944,20110711221726
1778819.0,BOTepho,20060911195454,20071201014139
,Gnome_(Bot),20060912083847,20080709165209
2111501.0,Elissonbot,20060915014746,20140708184221
712009.0,Wybot,20060915134130,20150724201216
2230472.0,Sagabot,20060916004622,20140708184617
2206880.0,Bot523,20060918154913,20140708185111
2135003.0,Halibott,20060919053630,20140708184053
1611616.0,Erwin85Bot,20060920181504,20140709101502
338065.0,BOT-Superzerocool,20060922185939,20140708122046
2176208.0,Riccardobot,20060923022817,20110711222957
163445.0,PoccilScript,20060927200550,20100821181320
2275697.0,Botz~enwiki,20060929124401,20071201014142
2041210.0,AsgardBot,20060929185221,20140708185515
2363800.0,MalarzBOT,20061001034750,20140708121446
2206974.0,STBot,20061006121329,20140708190215
2424884.0,DomBot,20061008065738,20100808111804
2255142.0,CopyToWiktionaryBot,20061008081226,20140708185452
2313330.0,AMABot,20061010203450,20071201144150
1928747.0,TARBOT,20061012123830,20150724201959
2367158.0,Eybot~enwiki,20061012134149,20080403054745
2112280.0,StatsBot,20061012222925,20110711221912
1685358.0,MichaelBillingtonBot,20061013013756,20140708184226
2218388.0,BetBot~enwiki,20061013014450,20140708190033
2253149.0,Bocianski.bot,20061013015106,20150724200843
,Werdnabot_(irc),20061013015658,20080327231710
2378222.0,FANSTARbot,20061013040455,20140708131644
,Dark_Shikari_Bot,20061013190016,20140708184050
234358.0,Mathbot,20061021174022,20061021174022
2437887.0,RefDeskBot,20061023132708,20071201144134
2476645.0,MartinBotII,20061024171013,20140708184706
2466321.0,LostBot,20061024171102,20140708184647
2572294.0,LordAnubisBOT,20061030141510,20140708185700
2394261.0,PlangeBot,20061030174322,20100821173347
,EssjayBot_III,20061112032238,20070308161934
1559905.0,Scepbot,20061112211958,20080919045814
2433582.0,KyluBot,20061120192619,20140708182143
2744412.0,Peelbot,20061120193206,20080314142945
,EssjayBot_IV,20061123035907,20070308161947
2739803.0,Geimas5Bot~enwiki,20061128154603,20140708184057
2479333.0,Skumarlabot,20061128155141,20140708185141
2866290.0,Mihas-bot,20061128155702,20150724201948
2586319.0,TheJoshBot,20061128160453,20080314185906
341052.0,Bota47,20061128160951,20150724200850
2844817.0,DorganBot,20061128161504,20140708121918
2556697.0,Bot-Schafter,20061130121200,20140708185120
2888951.0,MartinBotIII,20061203010020,20170605154450
2798557.0,PockBot,20061208214758,20100808112027
2278882.0,Sgeo-BOT,20061210030056,20110711221750
2854994.0,StubListBot,20061210030104,20080308000420
,Blood_Oath_Bot,20061211031428,20140708184729
2796964.0,STBotD,20061212075434,20140708184714
2885456.0,ListGenBot,20061212075509,20140708184633
2964546.0,Idioma-bot,20061215181535,20140708121639
2976602.0,SatyrBot,20061217180517,20061217180517
2549479.0,Selmobot,20061219003508,20110711221540
2893655.0,HagermanBot,20061219004022,20100817153156
2897456.0,AndreasJSbot,20061219004603,20061219004603
630810.0,AzaBot,20061220132742,20140708184622
,GurchBot_2,20061221002710,20061228180422
2984589.0,Jmax-bot,20061225172712,20100808112133
467651.0,KocjoBot~enwiki,20061229134954,20150724201917
1392310.0,Thijs!bot,20070101043339,20140708130252
2784935.0,TottyBot,20070101043401,20140708130127
3096998.0,AlnoktaBOT,20070101043413,20140708131728
3145267.0,DarknessBot,20070102170425,20140709000316
,VixDaemon,20070102171208,20070102171208
,Kyle_the_bot,20070102221645,20140709101405
