wiki,title,year,revid,word_count,sent_count,words_added,words_removed,cosine_vs_prev,containment_old_in_new,containment_new_in_old
ja.wikipedia,Wikipedia:再出発の方針,2013,49893970,1718,35,,,,,
ja.wikipedia,Wikipedia:再出発の方針,2015,56215984,1721,35,10,7,0.9997,1.0,1.0
ja.wikipedia,Wikipedia:再出発の方針,2016,61411982,1720,35,2,3,0.9999,1.0,1.0
ja.wikipedia,Wikipedia:再出発の方針,2020,77981933,169,1,31,1582,0.069,0.0,0.0
ja.wikipedia,Wikipedia:再出発の方針,2022,89564139,169,1,0,0,1.0,0.0,0.0
