close_rev_id,page_id,close_ts,closer,close_comment
465976586,5137507,20111215100322,Crazynas,"/* Wikipedia:Verifiability */ rm future time stamp, rfc closed now... so this doen't need to be the top incident now does it?"
472830475,3489028,20120123172821,Jakew,/* Condensing the first two sentences */ proposal to close rfc and archive
480668614,3489028,20120307143919,Garycompugeek,/* RfC: how should the lead summarise positions of medical associations? */ please close rfc
487740365,49697,20120416220524,Thibbs,that's all I needed to know. thanks! closing rfc/* Citation style question */
507276478,5093016,20120813214431,Beeblebrox,/* Usually back in lead? */ closing rfc
507826177,5149102,20120817120026,NE Ent,"/* Wikipedia:Requests for comment/Youreallycan */ archive, rfc closed"
514380013,17238631,20120924200625,Future Perfect at Sunrise,/* Anatolian tragedy */ close rfc?
521639640,3749998,20121106081338,Jc37,rfc closed
546750972,13355911,20130324160815,Nathan Johnson,/* RfC: The last paragraph of the lead */ close rfc
569371422,5137507,20130820102849,Bencherlite,"/* Continuing WP:OWN issues from User:TonyTheTiger */ rfc closed, archived, etc."
577735032,9465277,20131018170555,Rocksanddirt,/* RFC: Should article include Serbo-Croatian forms of Stana Katic's name? */ close rfc
586625641,82274,20131218112758,FiachraByrne,"/* British/English */ closing rfc - no consensus - revert to ""English"" band"
602649440,425905,20140403230624,NE Ent,close rfc per an/rfc request
605592543,5137507,20140424112822,Balaenoptera musculus,/* Off-wiki canvassing */ agree close rfc
607343357,4150398,20140506154744,115.187.78.204,closing rfc
607480231,435042,20140507140431,120.50.35.234,/* rfc: intro wording */ closing rfc
607757447,42253696,20140509103436,Number 57,/* Turning page into redirect */ close rfc
608289648,435042,20140512223208,95.199.211.103,"/* not simply ""Africans"" */ closing rfc"
608385716,6409126,20140513141910,95.199.210.43,/* rfc: founder */ closing rfc
629742211,6792913,20141015180507,Dekimasu,/* RfC: Proposed revert to disambiguated title */ closing rfc: see move discussion
631292653,4239425,20141027071148,Samsara,"/* Is info on Randi's income from a primary source allowable? */ assessing consensus, closing rfc"
631301126,3157740,20141027092902,Samsara,/* RfC: Correct Spelling? */ assessing consensus and closing rfc
631305117,538754,20141027102711,Samsara,/* RfC */ assessing consensus and closing rfc
634977559,16843126,20141122162306,FormerIP,/* RFC: Is the Julian a reform of Egyptian calendar? */ close rfc
635810902,43529737,20141128204059,Jbarta,/* RfC: black or African-American? */ rfc closed by requester
638791677,19390236,20141219160536,Dannis243,/* Flag */ closing rfc
643603368,44775967,20150122013258,Ncmvocalist,/* Poll on disputed BLP items */ closing rfc
652901341,885614,20150321171838,Dracolych,/* RfC: Should Alien saliva be given more weight in the article? */ closing rfc. fairly sure no one cares enough to let it sit any longer.
653413136,13456979,20150325041839,ErikHaugen,/* RfC: Article title */ closing rfc; capitalize
654786156,2246390,20150403145715,AlbinoFerret,"/* RfC: Should the lead paragraph state the genres of Mr.Iñárritu's films, based on WP:RS? */ close rfc"
658121390,6970778,20150422051208,KDS4444,"/* Request for comment: ""moai"" as a dubious example of an English suprasegmental */ closing rfc"
661666199,1723941,20150510073830,Godsy,/* Conformity within the presidential infoboxes */ close rfc
663786466,46304971,20150524105910,Brustopher,closing rfc on failed proposal
664001426,36518096,20150525203847,AlbinoFerret,/* Lead */ close rfc listed on WP:ANRFC
664339975,46313288,20150527231100,AlbinoFerret,"/* RFC - Ill-Mannered Protestors Outnumbered by Cheering Throngs Chanting ""America!"" ... is U.S. Government a RS for this claim? */close rfc listed on WP:ANRFC"
664764238,535443,20150530215329,Esquivalience,"/* Proposal for a ""wait"" tag */ close rfc"
664764325,535443,20150530215409,Esquivalience,"/* Proposal for a ""wait"" tag */ close rfc"
664767585,4194118,20150530222454,Esquivalience,/* RfC: Should the definition of Intercession be included? */ close rfc going nowhere
664855754,18361961,20150531131434,Esquivalience,/* RFC re Paul Whiteman */ close rfc
666418496,986140,20150611013555,Esquivalience,/* RfC: Guidance on commas after Jr. and Sr. */ close rfc
667254013,46345347,20150616210550,EvergreenFir,/* RfC: Further clarification of the 30/500 rule */ closing rfc
667762921,30046920,20150620125631,Esquivalience,/* RFC Should the Legal status and regulation section include specific countries when the Legality of bitcoin by country already exists */ close rfc; enacted
668038661,12779994,20150622022821,Esquivalience,/* RFC:  Inclusion of Radar Cross-Section Comparison */ close rfc
669083381,339438,20150628192545,Retrohead,close rfc
671955986,30046920,20150718060212,Wuerzele,/* RfC: Retail use of bitcoin in the lede */ reply to fleethams pushing to close rfc
673197067,249851,20150726195224,Wugapodes,/* RfC: Same-sex marriage map */ closing rfc since discussion is stale and consensus was reached
673723538,22745302,20150730015151,74.136.159.171,/* RfC: Is this article's historical content enough to form a new article? */ close rfc
673859586,5137507,20150731000000,Lowellian,/* RFC includes threat to strike out others' comments */ rfc closed
674723941,31350334,20150805184529,Wugapodes,/* RfC: Should links to venues of the 2015 Pan Am Games be piped? */ closing rfc
680196520,535443,20150909093923,MSGJ,Undid revision 680165743 by [[Special:Contributions/Kudpung|Kudpung]] ([[User talk:Kudpung|talk]]) - rfc closed
680196743,3706897,20150909094132,MSGJ,/* Autopatrolled: RfC to determine threshold number of articles */ rfc closed
680196760,986140,20150909094146,MSGJ,Undid revision 680164748 by [[Special:Contributions/Kudpung|Kudpung]] ([[User talk:Kudpung|talk]]) - rfc closed
684029185,10654089,20151004034652,Wugapodes,/* RfC re police department info */ closing rfc
684499215,47570328,20151007004111,Wugapodes,"/* RfC: Should this biographical article so prominently feature allegations by Breitbart.com? */ closing rfc, consensus supports current version of the page"
685875308,47520043,20151015151006,Brustopher,closing rfc
687168177,4263002,20151023190103,Sizeofint,Undid revision 687168065 by [[Special:Contributions/Sizeofint|Sizeofint]] ([[User talk:Sizeofint|talk]]) didn't see the close rfc
689017363,9879,20151104123147,95.128.118.58,/* satellite state */ closing rfc
689480584,9879,20151107130608,95.128.118.58,/* satellite state */ closing rfc
693674218,3741656,20151204024955,Medeis,"/* User:Medeis reported by User:Jojhutton (Result: ) */  happy to wait for an admin to close rfc's, please let me know if I need to file a req for closure."
697148203,11846085,20151228155126,Izno,/* RFC: Reliable Sources */ close rfc
707911082,17524322,20160302143943,Ncmvocalist,/* Add templates for poorly sourced content? */ close rfc
716032024,41138874,20160419125032,Cabayi,/* Fresh example */ shortcuts rfc closed
726582842,398520,20160623021709,Fieari,/* Request for comment */ closing rfc
728742124,50787294,20160707100053,Maunus,"/* RfC: Should the article include statements from government officials, politicians, and others not directly involved? */  close rfc consensus to include short summary of statements"
735532750,22745302,20160821111739,112.211.194.145,"/* Request for Comment */ closing rfc, a consensus has been noted and editors are no longer commenting."
746043125,10008342,20161024232336,Dennis Bratland,/* RFC: looking for outside opinions on dispute about wording */ close rfc?
748245572,3706897,20161107053034,Gestrid,/* Request for comment on PC protection */ rfc closed as oppose
752311895,3706897,20161130154503,Headbomb,/* Access locks: Visual Design RFC */ close rfc
752317017,3706897,20161130161823,Headbomb,/* Access Locks: Citation Template Behaviour RFC */ close rfc
753628117,32068223,20161208083853,Ukrainetz1,/* Should we use juche in the infobox? */ closing rfc
765497438,29692993,20170214190127,DarjeelingTea,"/* RfC about the inclusion of an ""opening day crisis"" section */ closing rfc"
793435026,9828639,20170801184636,94.193.159.223,/* Rfc about  Edits for discussion */ closing rfc
797882746,24938904,20170829183540,Primefac,/* RfC */ rfc closed (nc)
802552330,4625250,20170926221431,TonyBallioni,/* RfC for Badme location */ close rfc
802552680,102197,20170926221739,TonyBallioni,/* Survey */ close rfc
803750721,6280176,20171004113557,Folly Mox,/* RfC: What to do with this article? */ closing rfc (nac)
811817539,2845968,20171124050750,Hobit,"/* RfC: Manny Pacquiao steroid allegations */ closing rfc.  I've left a formatting error as I can't figure out how to deal with the box inside of the box.  Please feel free to fix it.  Also, I've not specified wording (I think that's beyond my remit)"
816164636,39755694,20171219181552,Deryck Chan,/* RFC about political parties */ close rfc - no admin action
821106582,511674,20180118122103,Galobtter,/* RfC about the use of wp:primary sources and the proposed passage */ closing rfc as against
822614159,12215406,20180127125659,Galobtter,"/* RFC #2: What should be in the article lead, concerning the royal succession. */ close rfc"
822795604,56078749,20180128151633,Galobtter,/* RfC about inclusion of FighterSweep.com report in external links section */ close rfc
823132362,55988466,20180130125411,Zawl,"/* RfC - January 11 */ rmv tag, close rfc"
823286530,14695,20180131094540,Galobtter,/* Request for Comment – parenthetical comment on the status of Jerusalem in the infobox for Israel */ close rfc
823288066,140377,20180131100402,Galobtter,/* RFC on inclusion of recognition by US States in Lead */ close rfc
823668965,478024,20180202173945,Galobtter,"/* RFC - ""Decisive"" */ close rfc - whew"
838971287,2015958,20180430130523,FT2,/* RFC: merging or reorganizing ZFS and OpenZFS to more accurately represent the implementations of ZFS */ close rfc
840951688,3706897,20180513031111,Mz7,/* RfC: Ending the system of portals */ rm bump: rfc closed
844193348,56849058,20180603081049,Oa01,/* Request for comments on image gallery of journal covers */ closing rfc
844257465,56849058,20180603190023,Oa01,/* Request for comments on image gallery of journal covers */ closing rfc per [[WP:RFCEND]]
855250420,4112397,20180816233232,KnightLago,"/* Should Gorsuch be mentioned in the lede? */ close rfc on sentence --> no consensus for inclusion of sentence, unprotecting article, see warning in closing note"
857468603,47097533,20180831213442,Primefac,"/* RfC about the tables of colour values (RGB, HSV and Hexadecimal) */ closing rfc - remove unsourced, keep sourced"
858399219,233561,20180906221651,Nableezy,/* rfc result */ new section
858412686,233561,20180907003730,יניב הורון,/* rfc result */
858448070,233561,20180907075102,Icewhiz,/* rfc result */
858496891,233561,20180907160958,Nableezy,/* rfc result */
858523590,233561,20180907200320,Nableezy,/* rfc result */
860022959,233561,20180917203230,Veritycheck,"/* rfc result */ The RfC is still open. Consequently, it's premature to be talking about results."
861322002,233561,20180926161902,Nableezy,/* rfc result */
863631239,49350911,20181012003848,Moishe Rosenbaum,/* Clothing taken */ closing rfc - consensus is for compromise wording
873882363,8487444,20181215183451,Barkeep49,/* RfC Split or Keep? */ closing rfc
878423868,425905,20190114191034,Mz7,"/* New draft CSD */ closing rfc, result is nothing done"
882292254,55742523,20190208021403,Drmies,/* Request for comment on including sexual assault allegation */ close rfc
882404992,55957147,20190208210559,Barkeep49,/* RfC.3 Expert opinions section */ closing rfc
884450431,17722858,20190221183811,Bonadea,/* RfC about the religion section */ closing rfc started by blocked sockpuppet
884612577,34112310,20190222195044,DannyS712,/* RFC on publisher and location in cite journal */ close rfc ([[User:Abelmoschus Esculentus/DiscussionCloser|DiscussionCloser]])
886549162,24572872,20190306235525,Ahmed M Farrag,closing rfc; thank you everyone!
902642412,857196,20190620074928,Cinderella157,/* RFC about order of paragraphs in lead */ close rfc
905540100,40401487,20190709194256,UberVegan,/* RfC: Description as conservative and anti-Muslim in the first line of the lede */ oppose: please do not prematurely close rfc
911593254,1906934,20190819213506,Rosguill,"/* RfC: Is a paragraph about a single incident involving fewer than a dozen Israelites WP:UNDUE? */ closing rfc, no consensus due to non-neutral opening statement. Threaded discussion raised some potentially productive alternatives to continuing to argue over the content at issue."
919938860,6349336,20191006193417,Mgasparin,/* RFC: COI edit request re: AMIP lawsuit */ closing rfc.
920933248,37263,20191012201525,Mgasparin,/* RfC: Should this article have this lead image? */ close rfc
921342273,563232,20191015065245,Mgasparin,/* RfC about station layouts and exits */ close rfc
933718769,1659622,20200102173055,QEDK,"/* RfC: Within our 200-character limit, does DYK prefer shorter over longer hooks? */ close rfc"
933719205,1659622,20200102173345,QEDK,"/* RfC: Within our 200-character limit, does DYK prefer shorter over longer hooks? */ close rfc"
943860882,3706897,20200304083739,Mz7,"/* Request for comment on the future of Wikipedia:In the news */ closing rfc early per [[WP:SNOW]], result was unsuccessful"
953945651,52231344,20200429213503,Jc37,rfc closed
958513285,986140,20200524064322,Mz7,"/* RfC: Bureaucrat activity */ closing rfc, result was no consensus"
963774283,11424955,20200621182546,ReyHahn,/* RfC: The Red Pill Movie */ closing rfc
966438493,24374909,20200707033646,Sammi Brie,/* RfC - article titles for television stations in Argentina */ close rfc
972624736,17958574,20200813022840,Wugapodes,"/* RfC: Allegations of Rape Sourced to Game Blogs and Fanzines */ close rfc, consensus to include"
989604183,986140,20201119232636,David Gerard,closing rfc
1006899324,13313193,20210215120234,HighKing,/* Discussion */ time to close rfc
1015811540,418652,20210403181103,TheSandDoctor,"/* ""Germans"", ""French people"" etc - ethnicity vs nationality */ close as rfc closed and this section now moot; remove the DoNotArchiveUntil line"
1047451535,2770526,20210930225922,TheSandDoctor,"/* RFC: Are Australian state governors, heads of state? */ close rfc"
1047972467,25303222,20211003155322,TheSandDoctor,/* RfC about primary candidate photos in election articles */ close rfc
1066354522,9488808,20220118002211,Fieari,/* RFC on the applicability of WP:NCORP to Esports teams */ closing rfc
1067879440,1855504,20220125163105,Kstern,/* Ranking presidents by racism according to one source */ rfc closed
1076813732,26033897,20220313030027,Bsoyka,"/* RfC: Should the article mention Assange getting $52m for defence from a NFT sale organised by him and Pak? */ close rfc ([[WP:NAC|NAC]], per [[WP:BRD]])"
1077498648,19685542,20220316171037,Bsoyka,"/* RfC on inclusion of cases involving ANL or the ''Mail on Sunday'' */ close rfc as no consensus ([[WP:NAC|NAC]], per [[WP:BRD]])"
1081301298,1278223,20220406161229,Viewsridge,/* RfC: Should the new Kashmir map be used in articles */ close rfc
1135555404,15948392,20230125114021,Alalch E.,/* RfC on our Solar System vs the Solar System */ close rfc
1170780497,3706897,20230817043954,Jc37,rfc closed
1176189078,52868510,20230920021658,Chetsford,/* RFC on lead */ closing rfc
1212425427,7657379,20240307203236,AirshipJungleman29,/* RFC on the victims of the Bangladesh genocide */ closing rfc
1241963364,570793,20240824055036,Freedom4U,/* RfC: Residence in the infobox */ closing rfc
1241967242,18841849,20240824063747,Freedom4U,/* RfC: Wikipedia reliability section */ closing rfc
1312094843,3706897,20250918161505,Matrix,/* RfC: Remove the Contents link from the sidebar */ close rfc
1314868232,986140,20251003163826,Matrix,/* RFC: Alphabetical listing of all Olympians */ close rfc
503485939,34655829,20120721203450,Beeblebrox,"/* Request for comment */ rfc closed, result was keep with attribution"
509346505,816054,20120827012737,Jc37,rfc closed
556287487,6418504,20130522161915,Beeblebrox,"/* Re-add ""arrest"" again? */ turning off, rfc closed"
680196556,18438734,20150909093939,MSGJ,Undid revision 680165392 by [[Special:Contributions/Kudpung|Kudpung]] ([[User talk:Kudpung|talk]]) - rfc closed
680196597,23321026,20150909094007,MSGJ,Undid revision 680165099 by [[Special:Contributions/Kudpung|Kudpung]] ([[User talk:Kudpung|talk]]) - rfc closed
915214423,59638311,20190911215120,Barkeep49,"/* RfC on ""himself"" */ closing rfc"
923248039,46342435,20191027094810,Primefac,"/* Request for comment: songwriter in lead intro */ close rfc, not done"
924331466,5556349,20191103052749,Wugapodes,/* RfC about minority languages in infobox */ close rfc per request at [[WP:ANRFC]]
935308511,1868611,20200111213103,Drmies,/* RfC: Severe NPOV violations all over this article */ close rfc
940979024,51526688,20200215212052,Anastrophe,/* BLP RFC: include or exclude social media numbers */ close rfc
950531796,2372232,20200412153536,Atsme,/* RfC: Should Tara Reade's sexual assault allegation against Biden be included in the article? */ agree it's time to close rfc and add the material
958009942,2372232,20200521153437,Primefac,/* RfC: Infobox picture */ closing rfc - keep current image
958023807,2879033,20200521170943,Primefac,/* RfC: Pie chart */ close rfc
966470619,657238,20200707091541,Jadebenn,/* RFC */ closing rfc as an uninvolved closer
971740879,17563335,20200807225027,M2sh22pp1l,/* RFC */ closing rfc
992348183,9044360,20201204200737,Srich32977,/* RfC: Removing every image from horse slaughter article */ closing rfc
1015574324,33123568,20210402073802,Salix alba,"/* RfC: address of the church */ close rfc, no strong consensus, but a footnote seems the best way to express the complexity"
1025419107,29022769,20210527125229,Jc37,rfc closed
1025424777,66476004,20210527133449,Jc37,rfc closed
1028198644,28243178,20210612133237,Gooduserdude,/* RfC about the map */ closing rfc
1031612918,28243178,20210702160838,Gooduserdude,/* RfC about the map */ closing rfc
1033680623,1334749,20210715052829,Maneesh,/* RfC about sex specificity of 5α-Reductase deficiency */  closing rfc per discussion
1038610014,50699862,20210813154816,GreenC,/* RfC on Dicks out for Harambe */ rfc closed
1040648298,68402224,20210825203915,Koikefan,attempting to close rfc once more
1047969700,15646,20211003153523,TheSandDoctor,/* RFC on location for year of assassination */ close rfc
1047970654,68205665,20211003154138,TheSandDoctor,"/* RFC on the inclusion of the phrase ""Wehda Street Massacre"" */ close rfc"
1052668702,9267837,20211030133955,JBchrch,Undid revision 1052656603 by [[Special:Contributions/A. C. Santacruz|A. C. Santacruz]] ([[User talk:A. C. Santacruz|talk]]) Please do not formally close rfcs in which you have voted and which have not been open for 30 days see [[WP:RFCEND]]
1057291833,16439,20211126181339,Ixtal,/* RFC on lead sentence */ closing rfc per [[WP:SNOW]] and advice at [[WP:CR]].
1061412756,69496616,20211221153014,Novem Linguae,"/* Proposed Wikipedia Policy, Guideline, or Process Discussion */ close rfc, withdrawn by filer"
1063158807,69089706,20220101160411,Barkeep49,/* General discussion */ closing rfc
1066786951,6197465,20220120034934,Fieari,/* RFC: Surname in the infoboxes of George V's descendants */ formally closing rfc per request on WP:CR
1068887374,69937289,20220130170452,Gooduserdude,closing rfc
1071644580,2099294,20220213165804,Gooduserdude,/* RfC on the colour of Template:No */ closing rfc that i started due no activity the last 5 days
1072809744,2099294,20220219155307,Gooduserdude,/* RfC on the colour of Template:No */ closing rfc that i started due to users clearly want #FFC7C7 for Template:No
1075216264,69937289,20220304151524,Gooduserdude,closing rfc
1094417449,22470,20220622140844,IpseCustos,/* RfC about oxygen providing energy */ closing rfc
1094417717,2840481,20220622141028,IpseCustos,/* RfC about heat of combustion being proportional to oxygen consumption */ close rfc
1105974755,405580,20220822165031,Balon Greyjoy,closing rfc
1116031047,797184,20221014124137,Dbeef,close rfc as no further input is likely
1128712068,67573152,20221221155452,JeffUK,/* Ruby Tandoh */  closing rfc/conversation per request
1129974365,60897920,20221228010631,Renamed user 0e40c0e52322c484364940c7954c93d8,"/* RfC on North Korea prank */ close rfc, consensus is include content was restored"
1151297992,73006619,20230423041354,Voorts,/* RfC on linking to the forum */ fixed {{close rfc bottom}} tag
1156084903,403898,20230521033619,Voorts,/* Is it okay to place Hikikomori in the see also section? */ close rfc
1156085000,403898,20230521033724,SineBot,"Signing comment by [[User:Voorts|Voorts]] - ""/* Is it okay to place Hikikomori in the see also section? */ close rfc"""
1156089454,55714930,20230521041827,Voorts,/* RfC: Taxonomic classification edit icon */ closing rfc
