node_id,wiki,page_id,title,namespace,qid,confidence,admitted_via,native,status_tier
enwiki:434648,enwiki,434648,Red_link,4,Q13417974,core,status_template,1,
enwiki:450740,enwiki,450740,Arbitration/Policy,4,Q4616152,core,status_template,1,
enwiki:456268,enwiki,456268,Civility,4,Q4654593,core,status_template,1,
enwiki:458380,enwiki,458380,Terms_of_use,4,Q118719909,core,status_template,1,
enwiki:469393,enwiki,469393,Sockpuppetry,4,Q4131621,core,status_template,1,
enwiki:475196,enwiki,475196,Bureaucrats,4,Q4048515,core,iw_qid,0,
enwiki:475703,enwiki,475703,Requests_for_administrator_attention,4,Q3907246,core,iw_qid,0,
enwiki:502959,enwiki,502959,Assume_good_faith,4,Q4663356,core,status_template,1,
enwiki:526968,enwiki,526968,Manual_of_Style/Lead_section,4,Q10966628,core,status_template,1,
enwiki:542426,enwiki,542426,Do_not_disrupt_Wikipedia_to_illustrate_a_point,4,Q4657775,core,status_template,1,
enwiki:545209,enwiki,545209,Naming_conventions_(stations),4,,core,status_template,1,
enwiki:551841,enwiki,551841,Naming_conventions_(ancient_Romans),4,,core,status_template,1,
enwiki:564696,enwiki,564696,Help_desk,4,Q4026300,core,iw_qid,0,
enwiki:590478,enwiki,590478,Project_namespace,4,Q10973440,core,status_template,1,
enwiki:641471,enwiki,641471,Banning_policy,4,Q6140266,core,status_template,1,
enwiki:681638,enwiki,681638,Manual_of_Style/Trademarks,4,Q13548084,core,status_template,1,
enwiki:690931,enwiki,690931,Categorization,4,Q4167836,core,status_template,1,
enwiki:705428,enwiki,705428,Template_namespace,4,Q11266439,core,status_template,1,
enwiki:746942,enwiki,746942,Shortcut,4,Q620197,core,status_template,1,
enwiki:756575,enwiki,756575,Manual_of_Style/Captions,4,Q9137568,core,status_template,1,
enwiki:800830,enwiki,800830,"Categories,_lists,_and_navigation_templates",4,Q7512282,core,status_template,1,
enwiki:805445,enwiki,805445,Consensus,4,Q4654351,core,status_template,1,
enwiki:815014,enwiki,815014,Privacy_policy,4,Q4994089,core,status_template,1,
enwiki:834114,enwiki,834114,Deletion_process,4,Q11055873,core,status_template,1,
enwiki:839347,enwiki,839347,Summary_style,4,Q4664121,core,status_template,1,
enwiki:860842,enwiki,860842,Naming_conventions_(chemistry),4,Q15868585,core,status_template,1,
enwiki:890739,enwiki,890739,Soft_redirect,4,Q7200789,core,status_template,1,
enwiki:911375,enwiki,911375,Naming_conventions_(television),4,Q15868591,core,status_template,1,
enwiki:959720,enwiki,959720,Categorization/Sorting_names,4,,core,status_template,1,
enwiki:986140,enwiki,986140,Village_pump_(policy),4,Q3178474,core,iw_qid,0,
enwiki:986312,enwiki,986312,People_by_year,4,,core,status_template,1,
enwiki:1008161,enwiki,1008161,Page_blanking,4,Q15868646,core,status_template,1,
enwiki:1030587,enwiki,1030587,Troll,4,Q5009903,core,iw_qid,0,
enwiki:1206185,enwiki,1206185,Manual_of_Style/Linking,4,Q14767226,core,status_template,1,
enwiki:1222510,enwiki,1222510,Naming_conventions_(definite_or_indefinite_article_at_beginning_of_name),4,Q105967650,core,status_template,1,
enwiki:1252005,enwiki,1252005,Copyright_violations,4,Q10990487,core,status_template,1,
enwiki:1297829,enwiki,1297829,Annotated_article,4,Q15868027,core,iw_qid,0,
enwiki:1327490,enwiki,1327490,Naming_conventions_(government_and_legislation),4,,core,status_template,1,
enwiki:1412568,enwiki,1412568,Manual_of_Style/Mathematics,4,Q13548085,core,status_template,1,
enwiki:1420584,enwiki,1420584,Notability_(music),4,Q4663944,core,status_template,1,
enwiki:1490960,enwiki,1490960,Donating_copyrighted_materials,4,Q10986184,core,iw_qid,0,
enwiki:1508327,enwiki,1508327,Manual_of_Style/Music,4,Q13310316,core,status_template,1,
enwiki:1520472,enwiki,1520472,Manual_of_Style/Spelling,4,Q10954578,core,status_template,1,
enwiki:1669570,enwiki,1669570,Naming_conventions_(country-specific_topics),4,Q108045170,core,status_template,1,
enwiki:1688215,enwiki,1688215,Content_forks,4,Q10957687,core,status_template,1,
enwiki:1708590,enwiki,1708590,Manual_of_Style/Latter_Day_Saints,4,,core,status_template,1,
enwiki:1743525,enwiki,1743525,Talk_page_guidelines,4,Q5641607,core,status_template,1,
enwiki:1756629,enwiki,1756629,Make_technical_articles_understandable,4,Q11774021,core,status_template,1,
enwiki:1816540,enwiki,1816540,Trifecta,4,Q13609652,core,overview,1,
enwiki:1827402,enwiki,1827402,Talk_page_templates,4,Q13548080,core,status_template,1,
enwiki:1830559,enwiki,1830559,Manual_of_Style/Disambiguation_pages,4,Q8783229,core,status_template,1,
enwiki:1836721,enwiki,1836721,No_disclaimers,4,Q14360366,core,status_template,1,
enwiki:1945468,enwiki,1945468,Naming_conventions_(operas),4,Q15994116,core,status_template,1,
enwiki:2100084,enwiki,2100084,Gaming_the_system,4,Q8917381,core,status_template,1,
enwiki:2115889,enwiki,2115889,Manual_of_Style/Visual_arts,4,Q14011832,core,status_template,1,
enwiki:2144215,enwiki,2144215,Manual_of_Style/Ireland-related_articles,4,,core,status_template,1,
enwiki:2159945,enwiki,2159945,Notability_(web),4,Q4663933,core,status_template,1,
enwiki:2252704,enwiki,2252704,Manual_of_Style/Lists_of_works,4,Q11114424,core,status_template,1,
enwiki:2262650,enwiki,2262650,Category_names,4,Q11127329,core,status_template,1,
enwiki:2271987,enwiki,2271987,Plagiarism,4,Q8085769,core,status_template,1,
enwiki:2273832,enwiki,2273832,Manual_of_Style/Arabic,4,Q15868552,core,status_template,1,
enwiki:2356700,enwiki,2356700,Articles_for_deletion,4,Q22897,core,iw_qid,0,
enwiki:2424016,enwiki,2424016,Notability_(numbers),4,Q6447825,core,status_template,1,
enwiki:2491966,enwiki,2491966,Harassment,4,Q10971677,core,status_template,1,
enwiki:2533281,enwiki,2533281,Contents/Portals,4,Q5008867,core,iw_qid,0,
enwiki:2580363,enwiki,2580363,Naming_conventions_(lists),4,Q15994124,core,status_template,1,
enwiki:2580427,enwiki,2580427,File_names,4,Q15142981,core,status_template,1,
enwiki:2589853,enwiki,2589853,Categorizing_articles_about_people,4,Q4656638,core,status_template,1,
enwiki:2609425,enwiki,2609425,Requests_for_adminship,4,Q4048254,core,iw_qid,0,
enwiki:2619226,enwiki,2619226,Naming_conventions_(Hebrew),4,Q4657130,core,status_template,1,
enwiki:2633486,enwiki,2633486,Naming_conventions_(people),4,Q10972639,core,status_template,1,
enwiki:2652807,enwiki,2652807,Notability_(organizations_and_companies),4,Q7906941,core,status_template,1,
enwiki:2678315,enwiki,2678315,Hatnote,4,Q20706711,core,status_template,1,
enwiki:2744112,enwiki,2744112,Content_assessment,4,Q10980800,core,status_template,1,
enwiki:2747122,enwiki,2747122,Non-free_content_criteria,4,Q4391089,core,status_template,1,
enwiki:2833869,enwiki,2833869,Speedy_keep,4,Q9136557,core,status_template,1,
enwiki:2856112,enwiki,2856112,Naming_conventions_(Norse_mythology),4,,core,status_template,1,
enwiki:3050699,enwiki,3050699,Manual_of_Style/Islam-related_articles,4,Q10970929,core,status_template,1,
enwiki:3072008,enwiki,3072008,Naming_conventions_(geographic_names),4,Q13308622,core,status_template,1,
enwiki:3105399,enwiki,3105399,Manual_of_Style/Record_charts,4,Q112708007,core,status_template,1,
enwiki:3119680,enwiki,3119680,Naming_conventions_(manuscripts),4,Q127951310,core,status_template,1,
enwiki:3166178,enwiki,3166178,Naming_conventions_(numbers_and_dates),4,,core,status_template,1,
enwiki:3182365,enwiki,3182365,Public_domain,4,Q5733528,core,status_template,1,
enwiki:3452342,enwiki,3452342,Biographies_of_living_persons,4,Q4663389,core,status_template,1,
enwiki:3464331,enwiki,3464331,High-risk_templates,4,Q11774053,core,status_template,1,
enwiki:3507110,enwiki,3507110,Notability_(academics),4,Q7908103,core,status_template,1,
enwiki:3595100,enwiki,3595100,Manual_of_Style/Hawaii-related_articles,4,,core,status_template,1,
enwiki:3600180,enwiki,3600180,Do_not_create_hoaxes,4,Q10977489,core,status_template,1,
enwiki:3600598,enwiki,3600598,Naming_conventions_(books),4,Q12097930,core,status_template,1,
enwiki:3618089,enwiki,3618089,Manual_of_Style/Accessibility,4,Q5525713,core,status_template,1,
enwiki:3706897,enwiki,3706897,Village_pump_(proposals),4,Q5854231,core,iw_qid,0,
enwiki:3767009,enwiki,3767009,Manual_of_Style/Abbreviations,4,Q12126069,core,status_template,1,
